,year,state,Humidity_mean,Pressure_mean,MaxTemp,WindGustSpeed,Rainfall
0,2007,ACT,57.67213114754098,1015.411475409836,25.086885245901634,40.91803278688525,3.219672131147542
1,2008,ACT,56.18765743073048,1016.4605793450885,20.788413098236784,41.129113924050635,1.6120906801007548
2,2008,NSW,62.58982683982684,1016.0111857506357,22.69690082644627,45.30337078651685,2.869565217391307
3,2008,NT,52.55373831775701,1010.2932558139537,33.23627906976744,40.59715639810427,2.592558139534884
4,2008,Qld,59.52007299270073,1014.1664233576644,27.163999999999977,34.503649635036496,4.041758241758243
5,2008,SA,52.285714285714285,1016.1372448979595,20.93316326530613,39.87564766839378,1.8778378378378378
6,2008,Tas,57.13488372093023,1010.866511627907,17.151162790697693,48.63157894736842,1.3981395348837207
7,2008,Vic,55.65942028985507,1014.0989169675097,20.43574007220217,49.12244897959184,1.5003610108303242
8,2008,WA,56.85674157303371,1017.4953804347833,22.25191256830601,37.119565217391305,2.1239130434782596
9,2009,ACT,56.27708333333333,1016.6970279720273,21.382668500687775,38.3095652173913,1.323415977961433
10,2009,NSW,59.46544209215442,1016.173217896864,23.1671918627842,41.369749939305656,2.3174815406106624
11,2009,NT,42.64794520547945,1011.996369863014,31.313561643835612,41.55386740331492,2.492054794520548
12,2009,Qld,60.45598349381018,1014.2991746905085,28.09457044673544,37.21801925722146,4.499172413793096
13,2009,SA,52.24861687413554,1016.3192148760337,23.15120606478292,42.25712300208478,1.3226428079834842
14,2009,Tas,64.65124309392266,1013.2940329218097,18.236351165980782,43.59778085991678,2.2101369863013716
15,2009,Vic,61.84735990289298,1016.0393722244685,21.626619859578717,42.64108203210908,1.7462049526877288
16,2009,WA,55.300759668508285,1016.3764298892978,23.97375690607736,41.18849618849619,1.746510020732549
17,2010,ACT,61.79098966026588,1018.2288338658145,20.29220963172805,35.42253521126761,2.9828737300435426
18,2010,NSW,64.15824129141886,1017.6100363070542,22.282363823227122,39.3759219605044,3.019402356902363
19,2010,NT,53.57211538461539,1012.2182441700949,29.620410958904113,40.53072625698324,4.146301369863013
20,2010,Qld,65.85670103092784,1014.900962199313,27.475189003436427,36.54827586206896,5.746243969676075
21,2010,SA,56.09889349930844,1018.039930795845,22.069841269841287,39.89777468706537,1.5439142461964057
22,2010,Tas,64.18638239339752,1015.1320301783271,18.57764060356651,40.016460905349795,1.8554794520547941
23,2010,Vic,65.13996780036224,1017.64036604988,21.013346613545817,40.439305103148754,2.1033487066372576
24,2010,WA,52.15390070921986,1017.4392660550461,24.59255319148935,39.26080586080586,1.4112375533428168
25,2011,ACT,61.58152173913044,1017.1493150684936,20.266767371601215,37.141215106732346,2.194189602446484
26,2011,NSW,63.5739625167336,1016.6367053620783,22.201596548004268,39.65706254392129,3.188265858410927
27,2011,NT,49.158445440956655,1011.7363023952103,30.096865671641794,41.02318392581144,4.267462686567163
28,2011,Qld,61.698876404494385,1014.3396629213479,27.177078651685395,36.45823927765237,4.593984962406007
29,2011,SA,55.98702290076336,1017.2818702290062,22.358792452830183,40.29306313328137,1.6206529992407006
30,2011,Tas,65.34384384384384,1014.8667414050809,17.993572496263095,40.66716867469879,1.8835329341317386
31,2011,Vic,65.97901705565529,1016.8712846911377,20.954622410336356,40.525590551181104,2.424574153985912
32,2011,WA,55.08843537414966,1015.3672293364366,24.40286360211,41.44790874524715,2.242511346444779
33,2012,ACT,61.88299531981279,1017.6369924812026,19.360419790104945,36.843939393939394,2.2123308270676714
34,2012,NSW,61.40621481648277,1017.2201394585738,21.811655112651668,38.91449377495889,2.9069529206626097
35,2012,NT,43.00523168908819,1012.8689088191322,30.50179104477613,40.49624060150376,2.5435820895522387
36,2012,Qld,62.35986547085202,1014.9339686098654,27.094315632011913,36.24419475655431,4.379191616766468
37,2012,SA,52.565859197577595,1018.102496217853,22.22360482654602,42.2190114068441,1.1668185269552038
38,2012,Tas,65.22665662650603,1014.618834080717,18.11626865671641,40.58982035928144,1.5397014925373143
39,2012,Vic,63.73838406958114,1017.3227033218776,20.89622984328864,41.499378573204076,1.9295059151008964
40,2012,WA,51.240236148955496,1016.9778165503486,24.022587883320874,39.816465256797585,1.926701570680625
41,2013,ACT,56.74924012158055,1016.8235692771083,21.05409836065573,39.003081664098616,1.5197604790419161
42,2013,NSW,58.883612258204735,1016.5849891126869,22.969176319176402,40.040305767894374,2.676449119793908
43,2013,NT,40.33811475409836,1013.2516888433992,30.966292134831477,40.950413223140494,1.7404907975460138
44,2013,Qld,62.04011887072809,1014.8220118782485,27.685958395245155,37.650074294205055,2.881723625557205
45,2013,SA,52.948355011476664,1016.9209862385316,22.649124143183535,42.65546218487395,1.4257564003103191
46,2013,Tas,63.91741741741742,1013.1619402985078,18.097159940209263,43.137670196671706,2.164714714714714
47,2013,Vic,62.88092357330107,1016.0920287006096,22.014274494404074,41.99513947590871,2.1136873747494946
48,2013,WA,58.334451901566,1016.3742529880474,23.79626865671644,38.908750934928946,2.4017910447761173
49,2014,ACT,60.45410292072323,1017.7442280945761,21.36301939058169,37.80392156862745,1.6801120448179283
50,2014,NSW,60.73513349514563,1017.2818405916206,23.12610966057437,39.51781635449977,2.279927154997973
51,2014,NT,40.33587786259542,1013.4408309455592,31.09352997145577,41.642237222757956,1.901535508637237
52,2014,Qld,60.797783933518005,1015.3450207468865,27.842629757785478,37.46506704304869,3.119832402234629
53,2014,SA,52.194232105628906,1017.7327908587266,23.39156293222683,41.24947442186405,1.238135003479472
54,2014,Tas,63.30833333333333,1014.6853430353435,18.827071823204427,40.271844660194176,1.4774687065368566
